116	7.4886555940277791E+006	2.5509510747657949E+001	-2.9904892523420514E+000	-9.7118650903744160E-007	4.4637294002296724E+000	5.5213423534481834E+000	1.3564712127173730E+000	3.1316490572416384E+000	7.9426264686708521E+000	1.5702051106409567E+000	9.8662718837408148E-001	5.5954186355491031E-001 
120	7.4951866460900120E+006	2.5485994495744130E+001	-3.0140055042558700E+000	-1.5538984144599066E-005	4.0335564287750980E+000	5.5777212985813938E+000	2.2450066281931265E+000	1.3541776820022999E+000	8.1789326011285635E+000	2.3941931591518149E+000	9.8656456121594061E-001	5.5947677047729494E-001 
125	7.4959672904526582E+006	2.5482636544189770E+001	-3.0173634558102300E+000	-2.2356382961276248E-006	3.9533102286928123E+000	5.5946743243301498E+000	2.4139755412320758E+000	1.0161826309292259E+000	8.2026647837241597E+000	2.4713626447230164E+000	9.8641803861881194E-001	5.5946902500661944E-001 
130	7.4966518814820396E+006	2.5481673154648234E+001	-3.0183268453517655E+000	-9.1218613271103441E-007	3.9139533443811234E+000	5.6000669524839486E+000	2.4953856239323535E+000	8.5334604640068412E-001	8.2170063561889890E+000	2.5133495550033871E+000	9.8608761321411831E-001	5.5945873058281559E-001 
135	7.4977375798590621E+006	2.5480632220260823E+001	-3.0193677797391771E+000	-9.4725104527382690E-007	3.9063861994164801E+000	5.6010509518193130E+000	2.5110119135293236E+000	8.2207572577777144E-001	8.2248712734805061E+000	2.5321995310627106E+000	9.8533359220821937E-001	5.5944348742314587E-001 
140	7.4994861079522390E+006	2.5479048278023235E+001	-3.0209517219767648E+000	-9.3057555936265726E-007	3.8961384590648209E+000	5.6073719161738937E+000	2.5346678764099320E+000	7.7473680230515063E-001	8.2316087088687500E+000	2.5482814701291168E+000	9.8409223422488956E-001	5.5939248779637007E-001 
142	7.5004547482950054E+006	2.5478114782607769E+001	-3.0218852173922315E+000	-9.8153300652647600E-007	3.8929604200966792E+000	5.6105963402591490E+000	2.5426361663888426E+000	7.5878431047612216E-001	8.2363450860685834E+000	2.5617790398524232E+000	9.8339614881339021E-001	5.5935562478844914E-001 
145	7.5022183634982612E+006	2.5475132613955100E+001	-3.0248673860448996E+000	-2.6508228153073128E-006	3.8800209594151975E+000	5.6124410957357709E+000	2.5694374654901160E+000	7.0513087589090639E-001	8.2511323736408091E+000	2.6069548670908089E+000	9.8196581128486549E-001	5.5926436141530711E-001 
150	7.5047531966233868E+006	2.5427374997443742E+001	-3.0726250025562578E+000	-3.7294109128418554E-005	3.7615318843033179E+000	5.6052825330403637E+000	2.8028363343661722E+000	2.3751821265167197E-001	8.2744989452216977E+000	2.6786296017715574E+000	9.7737560644065546E-001	5.5867266807668048E-001 
155	7.5059590827799281E+006	2.5401481643108550E+001	-3.0985183568914501E+000	-7.9331140557413463E-006	3.7215218685561657E+000	5.6060698661550248E+000	2.8832500324178074E+000	7.6248337900572824E-002	8.2754327963280261E+000	2.6803916604012601E+000	9.7464044225521274E-001	5.5780224305655146E-001 
158	7.5066325725721177E+006	2.5395406630228926E+001	-3.1045933697710737E+000	-9.5039499178061021E-006	3.7099472523572259E+000	5.6088498928596229E+000	2.9077892781679862E+000	2.7065968203208970E-002	8.2758166885466729E+000	2.6810753317520373E+000	9.7299648702168551E-001	5.5747617910246205E-001 
160	7.5072012950247293E+006	2.5389544513891771E+001	-3.1104554861082292E+000	-1.0550470136545090E-005	3.7040191486072915E+000	5.6112543986773389E+000	2.9208477385767120E+000	8.4878599999364183E-004	8.2760854565396205E+000	2.6815485738998626E+000	9.7158324784258421E-001	5.5719276487290870E-001 
165	7.5092018902671020E+006	2.5365675502038513E+001	-3.1343244979614866E+000	-1.2648945229016992E-005	3.6931337925367504E+000	5.6158231835993213E+000	2.9449028431787849E+000	-4.7669900633559067E-002	8.2765354008987941E+000	2.6819794064457914E+000	9.6690591683074822E-001	5.5668667138315731E-001 
170	7.5124238689108975E+006	2.5322153835162375E+001	-3.1778461648376251E+000	-1.3883539915213353E-005	3.6879676800642374E+000	5.6176440230127147E+000	2.9561454878305087E+000	-7.0900979396115657E-002	8.2773785038415806E+000	2.6834444746880854E+000	9.5868623949816256E-001	5.5642773382562027E-001 
175	7.5176128977365131E+006	2.5248194509969050E+001	-3.2518054900309501E+000	-1.4388646062915028E-005	3.6860161193011165E+000	5.6185844316155915E+000	2.9605188136581897E+000	-8.0917946592842974E-002	8.2778161334612772E+000	2.6831927460387814E+000	9.4649845025020940E-001	5.5624079729447962E-001 
180	7.5259698805504590E+006	2.5126668676045806E+001	-3.3733313239541936E+000	-1.4555845559101780E-005	3.6856110123587471E+000	5.6195137792243912E+000	2.9617937013473274E+000	-8.5563136157084829E-002	8.2793654579655431E+000	2.6854166973766613E+000	9.2620383429262199E-001	5.5605257746232128E-001 
185	7.5394288849421469E+006	2.4930809679859578E+001	-3.5691903201404216E+000	-1.4568383204361370E-005	3.6861630748540239E+000	5.6212109612738841E+000	2.9615381673815202E+000	-8.8450598001177952E-002	8.2815803218431583E+000	2.6878564955140964E+000	8.9310307388293808E-001	5.5583313195435735E-001 
190	7.5611047461050041E+006	2.4620243577046672E+001	-3.8797564229533279E+000	-1.4145011598839672E-005	3.6885305648212716E+000	5.6239308895480766E+000	2.9581631515841216E+000	-8.7144604504905826E-002	8.2851399692608378E+000	2.6915011838405416E+000	8.4107430160032071E-001	5.5543674842836011E-001 
195	7.5795042530063819E+006	2.4364510872573931E+001	-4.1354891274260694E+000	-1.3722216474568340E-005	3.6914296048872344E+000	5.6264238025170226E+000	2.9536115279366699E+000	-8.2576005293048427E-002	8.2883567267163052E+000	2.6951727316975367E+000	7.9719895253855666E-001	5.5503278674285472E-001 
196	7.5824087046596650E+006	2.4325146131194877E+001	-4.1748538688051227E+000	-1.3553243805782279E-005	3.6920238516469670E+000	5.6267956467041929E+000	2.9526089565107894E+000	-8.1273101673986742E-002	8.2889020609833715E+000	2.6958777969496137E+000	7.8993894783216612E-001	5.5492664440658968E-001 
200	7.5921742535028653E+006	2.4195292938364148E+001	-4.3047070616358525E+000	-1.3155730939069224E-005	3.6940373191239479E+000	5.6280678077240935E+000	2.9492181020667778E+000	-7.6815966133819025E-002	8.2905220841401484E+000	2.6975916319805027E+000	7.6781674241454434E-001	5.5463314068265945E-001 
205	7.6047170232735146E+006	2.4032698624386676E+001	-4.4673013756133244E+000	-1.2868521711511572E-005	3.6959887223166583E+000	5.6297711030397553E+000	2.9461669433391879E+000	-7.3641992928443617E-002	8.2927359071630207E+000	2.7002581174179281E+000	7.3906617761663285E-001	5.5429227640684153E-001 
210	7.6184918436535159E+006	2.3858640817450393E+001	-4.6413591825496070E+000	-1.2523455227101117E-005	3.6978479473581265E+000	5.6315307019776366E+000	2.9433282927251909E+000	-7.1121532949983648E-002	8.2952046110980202E+000	2.7033776844750808E+000	7.0792474287682550E-001	5.5376670576654163E-001 
215	7.6326462255419279E+006	2.3685016599323639E+001	-4.8149834006763612E+000	-1.2069927080820445E-005	3.7008429886005985E+000	5.6335057270621576E+000	2.9383257227825084E+000	-6.4288398718394035E-002	8.2977994080368411E+000	2.7068215000102094E+000	6.7678669300903882E-001	5.5319070233466461E-001 
220	7.6468596763851764E+006	2.3515760365664640E+001	-4.9842396343353599E+000	-1.1810944392279946E-005	3.7031180563090107E+000	5.6354401449613052E+000	2.9347427963152581E+000	-6.0237213299929829E-002	8.3005532494366072E+000	2.7108212569775727E+000	6.4452216397595252E-001	5.5242345922267488E-001 
