                              80          1.4894347484940162E+006          1.7980204285591000E+001         -1.9795714408999743E-002         -1.4227237954559661E-008          4.5120215474112699E+000          4.5319777570664712E+000          7.6520462016332147E-001          4.1622747348330194E+000          7.5453699554356675E+000          7.0943476646640202E-001          3.1638663660321009E-001          7.2008304636189491E-001 
                              85          2.3991936882384392E+006          1.7966338077995566E+001         -3.3661922004434075E-002         -1.5966739126834160E-008          4.5105971698326224E+000          4.5579148457598366E+000          7.8102191966729950E-001          4.1303050817505200E+000          7.5464756826325843E+000          7.0206486757644937E-001          3.4466168432253702E-001          7.1994567035958512E-001 
                              90          3.8643695582862296E+006          1.7939750010126144E+001         -6.0249989873856435E-002         -1.9756429312218448E-008          4.5097167384488932E+000          4.6034464542541320E+000          8.0554858668190532E-001          4.0806085669190821E+000          7.5501630264423776E+000          6.9468733924660908E-001          3.9037620726338312E-001          7.1811216454508642E-001 
                              95          6.2240499487568969E+006          1.7881076862137867E+001         -1.1892313786213293E-001         -2.8459988114412692E-008          4.5030988531711458E+000          4.6854100094494058E+000          8.5976613483503694E-001          3.9707507537511284E+000          7.5603602087888726E+000          6.9206554217001259E-001          5.0353137124272873E-001          7.0593441183069561E-001 
                              99          8.5587215691680200E+006          1.7796283754714057E+001         -2.0371624528594268E-001         -4.1918100757245910E-008          4.4771445477323626E+000          4.7903421339654697E+000          9.6414080797063550E-001          3.7599370592570134E+000          7.5807428577445668E+000          7.1717129754399289E-001          6.7689676057764880E-001          6.8827082507368287E-001 
                             100          9.0633209077129606E+006          1.7773360072861490E+001         -2.2663992713851044E-001         -4.5429472655814380E-008          4.4661325980127211E+000          4.8175441066066407E+000          9.9976569373050428E-001          3.6881275053587914E+000          7.5874632188456630E+000          7.2970178561251808E-001          7.2302918760280321E-001          6.8499411595544313E-001 
                             105          1.0762336209191123E+007          1.7679698935548430E+001         -3.2030106445157003E-001         -9.4559297745746943E-008          4.3835229061765801E+000          4.9302344858197920E+000          1.2213302670093631E+000          3.2427036846108606E+000          7.6389543359538816E+000          8.6506929248298670E-001          9.2993018724786625E-001          6.7642092559252320E-001 
                             109          1.1096903472789660E+007          1.7570888000549989E+001         -4.2911199945001144E-001         -1.0223881635420264E-006          4.3940545038816676E+000          4.9667581875261781E+000          1.2185289224523788E+000          3.2456252190072767E+000          7.7366358726749285E+000          1.1632490686496444E+000          9.8501368043881943E-001          6.7508896270952157E-001 
                             110          1.1102277849568212E+007          1.7565199573948345E+001         -4.3480042605165536E-001         -1.0584346494543992E-006          4.4037103199813563E+000          4.9738254583301460E+000          1.2027509256549869E+000          3.2770405906674100E+000          7.7603324063156700E+000          1.2377226729194364E+000          9.8594501374313459E-001          6.7506841593071176E-001 
                             115          1.1106966025919680E+007          1.7562515088234210E+001         -4.3748491176578952E-001         -9.6117553248501474E-008          4.4183694584270023E+000          4.9991932245878008E+000          1.1861165318925226E+000          3.3102429999866465E+000          7.8419516565179714E+000          1.5122586895598076E+000          9.8657171464358839E-001          6.7505185403404067E-001 
